EcritureDate,Intitule,Debit,Credit
01/01/2023,Clients Marcel,1374.29,0
01/01/2023,TVA collectée,0,229.05
01/01/2023,Ventes de marchandises,0,1145.24
01/01/2023,Clients Hortense Valette,2718.42,0
01/01/2023,TVA collectée,0,453.07
01/01/2023,Ventes de marchandises,0,2265.35
01/01/2023,Clients Arthur Evrard,6340.31,0
01/01/2023,TVA collectée,0,1056.72
01/01/2023,Ventes de marchandises,0,5283.59
01/01/2023,Clients Franck Diaz du Devaux,5491.36,0
01/01/2023,TVA collectée,0,915.23
01/01/2023,Ventes de marchandises,0,4576.13
01/01/2023,Clients Alain Chauvin,5025.01,0
01/01/2023,TVA collectée,0,837.5
01/01/2023,Ventes de marchandises,0,4187.51
01/01/2023,Clients Manon Gilles,4377.54,0
01/01/2023,TVA collectée,0,729.59
01/01/2023,Ventes de marchandises,0,3647.95
01/01/2023,Clients Claudine Besnard,164.12,0
01/01/2023,TVA collectée,0,27.35
01/01/2023,Ventes de marchandises,0,136.77
01/01/2023,Clients Raymond Hoareau,2341.91,0
01/01/2023,TVA collectée,0,390.32
01/01/2023,Ventes de marchandises,0,1951.59
01/01/2023,Clients Hortense Valette,6329.41,0
01/01/2023,TVA collectée,0,1054.9
01/01/2023,Ventes de marchandises,0,5274.51
01/01/2023,Clients Robert Meunier,2691.88,0
01/01/2023,TVA collectée,0,448.65
01/01/2023,Ventes de marchandises,0,2243.23
01/01/2023,Clients Simone Roussel de la Laine,5714.83,0
01/01/2023,TVA collectée,0,952.47
01/01/2023,Ventes de marchandises,0,4762.36
01/01/2023,Clients Astrid Fleury,1409.97,0
01/01/2023,TVA collectée,0,235
01/01/2023,Ventes de marchandises,0,1174.97
01/01/2023,Clients Geneviève Dumas,3966.36,0
01/01/2023,TVA collectée,0,661.06
01/01/2023,Ventes de marchandises,0,3305.3
01/01/2023,Clients Franck Diaz du Devaux,3711.43,0
01/01/2023,TVA collectée,0,618.57
01/01/2023,Ventes de marchandises,0,3092.86
01/01/2023,Clients Manon Gilles,6722.51,0
01/01/2023,TVA collectée,0,1120.42
01/01/2023,Ventes de marchandises,0,5602.09
01/01/2023,Clients Édouard Pineau,1472.52,0
01/01/2023,TVA collectée,0,245.42
01/01/2023,Ventes de marchandises,0,1227.1
01/01/2023,Clients Henri Monnier,5126.49,0
01/01/2023,TVA collectée,0,854.41
01/01/2023,Ventes de marchandises,0,4272.08
01/01/2023,Clients Geneviève Dumas,857.44,0
01/01/2023,TVA collectée,0,142.91
01/01/2023,Ventes de marchandises,0,714.53
01/01/2023,Clients Manon de la Gimenez,5439.82,0
01/01/2023,TVA collectée,0,906.64
01/01/2023,Ventes de marchandises,0,4533.18
01/01/2023,Clients Robert Le Evrard,5149.67,0
01/01/2023,TVA collectée,0,858.28
01/01/2023,Ventes de marchandises,0,4291.39
01/01/2023,Banque SG,3575.23,0
01/01/2023,TVA collectée,0,595.87
01/01/2023,Ventes de marchandises,0,2979.36
01/01/2023,Clients Astrid Fleury,999.77,0
01/01/2023,TVA collectée,0,166.63
01/01/2023,Ventes de marchandises,0,833.14
01/01/2023,Clients Manon de la Gimenez,2622.13,0
01/01/2023,TVA collectée,0,437.02
01/01/2023,Ventes de marchandises,0,2185.11
01/01/2023,Clients Nathalie Raymond,1352.24,0
01/01/2023,TVA collectée,0,225.37
01/01/2023,Ventes de marchandises,0,1126.87
01/01/2023,Clients Édouard Pineau,5167.36,0
01/01/2023,TVA collectée,0,861.23
01/01/2023,Ventes de marchandises,0,4306.13
01/01/2023,Clients Michelle,4393.61,0
01/01/2023,TVA collectée,0,732.27
01/01/2023,Ventes de marchandises,0,3661.34
01/01/2023,Clients Nathalie Raymond,3042.55,0
01/01/2023,TVA collectée,0,507.09
01/01/2023,Ventes de marchandises,0,2535.46
01/01/2023,Clients Nath Parent,3793.44,0
01/01/2023,TVA collectée,0,632.24
01/01/2023,Ventes de marchandises,0,3161.2
01/01/2023,Clients Odette Couturier Le Benoit,1341.02,0
01/01/2023,TVA collectée,0,223.5
01/01/2023,Ventes de marchandises,0,1117.52
02/01/2023,Clients Robert Le Evrard,1.04,0
02/01/2023,TVA collectée,0,0.17
02/01/2023,Ventes de marchandises,0,0.87
02/01/2023,Clients Manon Gilles,3610.7,0
02/01/2023,TVA collectée,0,601.78
02/01/2023,Ventes de marchandises,0,3008.92
02/01/2023,Banque SG,3275.69,0
02/01/2023,TVA collectée,0,545.95
02/01/2023,Ventes de marchandises,0,2729.74
02/01/2023,Clients Marcel,1798.62,0
02/01/2023,TVA collectée,0,299.77
02/01/2023,Ventes de marchandises,0,1498.85
02/01/2023,Clients Isaac Cordier de Bruneau,866.45,0
02/01/2023,TVA collectée,0,144.41
02/01/2023,Ventes de marchandises,0,722.04
02/01/2023,Clients Manon Gilles,3798.9,0
02/01/2023,TVA collectée,0,633.15
02/01/2023,Ventes de marchandises,0,3165.75
02/01/2023,Clients Marcel,3081.2,0
02/01/2023,TVA collectée,0,513.53
02/01/2023,Ventes de marchandises,0,2567.67
02/01/2023,Banque SG,873.86,0
02/01/2023,TVA collectée,0,145.64
02/01/2023,Ventes de marchandises,0,728.22
02/01/2023,Clients Geneviève Dumas,120.45,0
02/01/2023,TVA collectée,0,20.08
02/01/2023,Ventes de marchandises,0,100.37
02/01/2023,Clients Nathalie Raymond,3809.41,0
02/01/2023,TVA collectée,0,634.9
02/01/2023,Ventes de marchandises,0,3174.51
02/01/2023,Clients Édouard,6730.39,0
02/01/2023,TVA collectée,0,1121.73
02/01/2023,Ventes de marchandises,0,5608.66
02/01/2023,Clients Édouard,5600.81,0
02/01/2023,TVA collectée,0,933.47
02/01/2023,Ventes de marchandises,0,4667.34
02/01/2023,Clients Arthur Evrard,5970.59,0
02/01/2023,TVA collectée,0,995.1
02/01/2023,Ventes de marchandises,0,4975.49
02/01/2023,Clients Hortense Valette,4657.15,0
02/01/2023,TVA collectée,0,776.19
02/01/2023,Ventes de marchandises,0,3880.96
02/01/2023,Clients Astrid Fleury,5855.58,0
02/01/2023,TVA collectée,0,975.93
02/01/2023,Ventes de marchandises,0,4879.65
02/01/2023,Clients Manon de la Gimenez,6626.85,0
02/01/2023,TVA collectée,0,1104.48
02/01/2023,Ventes de marchandises,0,5522.37
02/01/2023,Clients Astrid Fleury,4846.63,0
02/01/2023,TVA collectée,0,807.77
02/01/2023,Ventes de marchandises,0,4038.86
02/01/2023,Clients Henri Monnier,6760.03,0
02/01/2023,TVA collectée,0,1126.67
02/01/2023,Ventes de marchandises,0,5633.36
02/01/2023,Clients Alain Chauvin,3012.02,0
02/01/2023,TVA collectée,0,502
02/01/2023,Ventes de marchandises,0,2510.02
02/01/2023,Clients Guy Maréchal,1523.34,0
02/01/2023,TVA collectée,0,253.89
02/01/2023,Ventes de marchandises,0,1269.45
02/01/2023,Clients Franck Diaz du Devaux,2484.14,0
02/01/2023,TVA collectée,0,414.02
02/01/2023,Ventes de marchandises,0,2070.12
02/01/2023,Clients Franck Diaz du Devaux,799.1,0
02/01/2023,TVA collectée,0,133.18
02/01/2023,Ventes de marchandises,0,665.92
02/01/2023,Clients Charles,1813.25,0
02/01/2023,TVA collectée,0,302.21
02/01/2023,Ventes de marchandises,0,1511.04
02/01/2023,Clients Simone Roussel de la Laine,4277.34,0
02/01/2023,TVA collectée,0,712.89
02/01/2023,Ventes de marchandises,0,3564.45
02/01/2023,Clients Geneviève Dumas,890.15,0
02/01/2023,TVA collectée,0,148.36
02/01/2023,Ventes de marchandises,0,741.79
02/01/2023,Clients Claudine Besnard,3624.01,0
02/01/2023,TVA collectée,0,604
02/01/2023,Ventes de marchandises,0,3020.01
02/01/2023,Banque CIC,6582.85,0
02/01/2023,TVA collectée,0,1097.14
02/01/2023,Ventes de marchandises,0,5485.71
02/01/2023,Clients Simone Roussel de la Laine,3918.31,0
02/01/2023,TVA collectée,0,653.05
02/01/2023,Ventes de marchandises,0,3265.26
02/01/2023,Clients Robert Le Evrard,5376.6,0
02/01/2023,TVA collectée,0,896.1
02/01/2023,Ventes de marchandises,0,4480.5
02/01/2023,Clients Simone Roussel de la Laine,4454.25,0
02/01/2023,TVA collectée,0,742.38
02/01/2023,Ventes de marchandises,0,3711.87
02/01/2023,Banque SG,3761.41,0
02/01/2023,TVA collectée,0,626.9
02/01/2023,Ventes de marchandises,0,3134.51
02/01/2023,Clients Manon de la Gimenez,3225.96,0
02/01/2023,TVA collectée,0,537.66
02/01/2023,Ventes de marchandises,0,2688.3
02/01/2023,Clients Manon Gilles,6480.56,0
02/01/2023,TVA collectée,0,1080.09
02/01/2023,Ventes de marchandises,0,5400.47
03/01/2023,Clients Alexandria Riou,6967.71,0
03/01/2023,TVA collectée,0,1161.29
